,question,choice_list,choice_order
0,"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?","['A necklace', 'A scarf', 'A seatbelt.', 'A shoelace']","[2, -1, -1, -1]"
1,"If fruit comes from a fruit tree, where does chicken come from?","['A cow-tree', 'A poul-tree.', 'A fish-tree', 'A vegetable-tree']","[1, -1, -1, -1]"
2,What animal can jump higher than a tree?,"['Kangaroo', 'Giraffe', ""All of them! Trees can't jump."", 'Squirrel']","[2, -1, -1, -1]"
3,What did the bat say to his date?,"['""You\'re a real night owl.""', '""I\'m batty for you.""', '""You are fun to hang out with.""', '""Let\'s fly away together.""']","[2, -1, -1, -1]"
4,What did the octopus say to his crush on Valentine's day?,"['""You octopi my thoughts', '""I\'m tentacled by your beauty', 'I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand.', '""I\'m ink-love with you']","[2, -1, -1, -1]"
5,"Skunks never skip Valentine's Day, but why?","['They are rather scent-imental.', '""They enjoy the smell of roses.""', '""They have a secret admirer.""', '""They are allergic to flowers.""']","[0, -1, -1, -1]"
6,One of Santa's reindeer also works on Valentine's Day? Which one?,"['Vixen', 'Prancer', 'Cupid.', 'Dasher']","[2, -1, -1, -1]"
7,"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?","['Newly webs.', '""Spiderlings""', '""Honeymooners""', '""Arachnid lovebirds""']","[0, -1, -1, -1]"
8,What does a snake couple do as they say goodbye?,"['They slither away from each other', 'They shed their skin together', 'They give a hiss on the cheek to each other.', 'They coil around each other']","[2, -1, -1, -1]"
9,What does the boy bird call his darling?,"['Feathered sweetheart', 'Lovebird', 'Chirpkin', 'Tweetheart.']","[3, -1, -1, -1]"
10,What do you call a couple of Italian ants?,"['Romance.', 'Gelato', 'Pasta', 'Pizza']","[0, -1, -1, -1]"
11,"From that which comes within itself,It builds its table on my shelf.What is it?","['A bee', 'A squirrel', 'A bird', 'A spider.']","[3, -1, -1, -1]"
12,"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?","['A worm.', 'A snake', 'A centipede', 'A caterpillar']","[0, -1, -1, -1]"
13,A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"['The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear.', 'The bear is black. Since all the walls of the house are facing south', 'The bear is brown. Since all the walls of the house are facing south', 'The bear is gray. Since all the walls of the house are facing south']","[0, -1, -1, -1]"
14,"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?","['A tick', 'A mosquito', 'A spider', 'A flea.']","[3, -1, -1, -1]"
15,"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","['No one, because there are no bananas on a coconut tree!', 'The monkey', 'The raven', 'The squirrel']","[0, -1, -1, -1]"
16,Two silkworms started a fight. How did it end?,"['In a tie!', '""They made peace""', '""One of them won""', '""They both got tangled up""']","[0, -1, -1, -1]"
17,What animal can lend you a buck?,"['A deer (male deer are called bucks).', 'A horse', 'A squirrel', 'A rabbit']","[0, -1, -1, -1]"
18,"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?","['""Because they were causing a ruckus.""', 'Because of their fowl language.', '""Because they were stealing food.""', '""Because they were trespassing.""']","[1, -1, -1, -1]"
19,"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?","['The window was too small for the cat to fit through.', 'The window was closed.', 'The cat was too lazy to jump.', 'The cat was afraid of heights.']","[1, -1, -1, -1]"
20,Why did the fish blush?,"['""It saw a shark""', '""It saw a submarine""', ""It saw the ocean's bottom."", '""It saw a mermaid""']","[2, -1, -1, -1]"
21,"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?","['A robin', 'A bald eagle', 'A turkey.', 'A blue jay']","[2, -1, -1, -1]"
22,What happens when you're shaving a looney sheep?,"['""Woolly chaos""', '""Crazy clippers""', 'Shear madness.', '""Fleeced frenzy""']","[2, -1, -1, -1]"
23,What do you call a cow sucked up by a tornado?,"['A milkshake.', 'A tornado steak', 'A cyclone smoothie', 'A twister burger']","[0, -1, -1, -1]"
24,I always sleep with my shoes on.What am I?,"['A bird', 'A horse.', 'A dog', 'A cat']","[1, -1, -1, -1]"
25,What do you call a cow spying on another cow?,"['""A cattle surveillance""', '""A moo-nitoring""', '""A beef undercover""', 'A steak out.']","[3, -1, -1, -1]"
26,"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?","['A squirrel.', 'Raccoon', 'Rabbit', 'Chipmunk']","[0, -1, -1, -1]"
27,What is the first animal in space?,"['The dog that chased its tail', 'The cat that purred in the sun', 'The monkey that swung from the trees', 'The cow that jumped over the moon.']","[3, -1, -1, -1]"
28,"What goes tick-tock, bow-wow, tick-tock, bow-wow?","['""A bird chirping""', '""A cow mooing""', 'A watch dog.', '""A cat meowing""']","[2, -1, -1, -1]"
29,"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?","['A penguin', 'A seahorse', 'A platypus.', 'A flamingo']","[2, -1, -1, -1]"
30,What steps must you take when you notice a tiger running toward you?,"['Big ones!', '""Hide behind a tree""', '""Try to outrun the tiger""', '""Stand still and hope it doesn\'t see you""']","[0, -1, -1, -1]"
31,Why is it so difficult for the leopard to hide?,"[""Because it's too noisy."", ""Because it's too slow."", ""Because it's too big."", ""Because it's always spotted.""]","[3, -1, -1, -1]"
32,"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?","['A spider', 'A scorpion', 'A snake.', 'A caterpillar']","[2, -1, -1, -1]"
33,"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?","['A cow', 'A chicken', 'A horse', 'A pig.']","[3, -1, -1, -1]"
34,"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?","['An orangutan', 'A bonobo', 'A gorilla.', 'A chimpanzee']","[2, -1, -1, -1]"
35,I grow down as I grow up.What am I?,"['A goose - goose feathers are called down.', 'A mountain', 'A ladder', 'A tree']","[0, -1, -1, -1]"
